FoodCode	Main.food.description	ModCode	Old.Main.food.description	FoodID
11100000	Milk_NFS	0	Milk, NFS	11100000.0
11111000	Milk_cows_fluid_whole	0	Milk, cows, fluid, whole	11111000.0
11112110	Milk_cows_fluid_2_fat	0	Milk, cows, fluid, 2% fat	11112110.0
11112210	Milk_cows_fluid_1_fat	0	Milk, cows, fluid, 1% fat	11112210.0
11113000	Milk_cows_fluid_skim_or_nonfat_0_5_or_less_butterfat	0	Milk, cows, fluid, skim or nonfat, 0.5% or less butterfat	11113000.0
11114320	Milk_cows_fluid_lactose_reduced_nonfat	0	Milk, cows, fluid, lactose reduced, nonfat	11114320.0
11114330	Milk_cows_fluid_lactose_reduced_2_fat	0	Milk, cows, fluid, lactose reduced, 2% fat	11114330.0
11115100	Buttermilk_fluid_1_fat	0	Buttermilk, fluid, 1% fat	11115100.0
11115300	Buttermilk_fluid_whole	0	Buttermilk, fluid, whole	11115300.0
11320000	Milk_soy_ready_to_drink_not_babys	0	Milk, soy, ready-to-drink, not babys	11320000.0
11350000	Milk_almond_ready_to_drink	0	Milk, almond, ready-to-drink	11350000.0
11350010	Milk_almond_ready_to_drink_chocolate	0	Milk, almond, ready-to-drink, chocolate	11350010.0
11411100	Yogurt_plain_whole_milk	0	Yogurt, plain, whole milk	11411100.0
11411200	Yogurt_plain_lowfat_milk	0	Yogurt, plain, lowfat milk	11411200.0
11411300	Yogurt_plain_nonfat_milk	0	Yogurt, plain, nonfat milk	11411300.0
11421000	Yogurt_vanilla_lemon_or_coffee_flavor_whole_milk	0	Yogurt, vanilla, lemon, or coffee flavor, whole milk	11421000.0
11422000	Yogurt_vanilla_lemon_maple_or_coffee_flavor_lowfat_milk	0	Yogurt, vanilla, lemon, maple, or coffee flavor, lowfat milk	11422000.0
11423000	Yogurt_vanilla_lemon_maple_or_coffee_flavor_nonfat_milk	0	Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk	11423000.0
11431000	Yogurt_fruit_variety_whole_milk	0	Yogurt, fruit variety, whole milk	11431000.0
11432000	Yogurt_fruit_variety_lowfat_milk	0	Yogurt, fruit variety, lowfat milk	11432000.0
11432500	Yogurt_fruit_variety_lowfat_milk_sweetened_with_low_calorie_sweetener	0	Yogurt, fruit variety, lowfat milk, sweetened with low-calorie sweetener	11432500.0
11433000	Yogurt_fruit_variety_nonfat_milk	0	Yogurt, fruit variety, nonfat milk	11433000.0
